sentence,label
酵素風呂やはり凄い。,36
眠りが深い,13
よく寝れた上に目覚める何分前から,28
わかりませんがハッキリ夢も見れました,13
楽しい夢だったなー,2
ワクワクするような,2
たまに夢って,3
続きが見たくなりますよね。,3
今日も多くの方々が幸せで愛を感じるステキな一日でありますように,2
ペット,43
銀メダル,13
お二方は本日二本目という中でもシッカリ銀メダル,13
凄い。,13
やはり日本の女性は強い。,15
そして美しい。,3
楽しみですね,45
中国強いらしいです。,12
頑張れー,33
日本,3
温まってボッーと歩いていたら,3
バスが横に止まって,3
座ってる綺麗な感じの女性が,7
スマホ片手に微笑んでる。,13
へー何見てるのかな？と近づき見たら私のブログでした、笑笑,7
となりにいるよ,7
フト嬉しい瞬間でした,20
今日友達がディズニーランドで遊んでます。,29
待ち時間に私のブログ見るのが,3
丁度よい暇つぶしになるそうです、笑笑。,13
それもまた嬉しい,3
ポカポカ帰ってます,3
ちょっと散歩へ‍♀️,37
目的地へチンタラチンタラ歩いていこうかなとたまにはこういうのも良いかな,37
頑張りまーす,33
楽しいのありがとう,16
可愛い,7
いいね,7
遅くなってごめーん。,36
ご飯にしようね,44
大阪桐蔭。,3
優勝おめでとうございます。,13
強い！,13
層が厚い。,13
そして,3
秋田の金足感動をありがとう。,15
そして,3
イケメン多くて,3
ホッコリしました。,30
2回目の春夏連覇。,12
大阪桐蔭。,3
素晴らしい。,19
おめでとうございます。,13
わたし,3
決勝しか見てない,4
ど素人ですが感動しました。,14
ありがとう！！！,1
ギリギリまで見ていきたいと思っています。,33
なんか泣ける試合です秋田の金足のなにかに泣かされます。,24
そして,3
見事に立ちはだかる大阪桐蔭。,19
凄いものみてます。,19
そして,3
大阪桐蔭の根尾くん？,3
なんかもってますね。,19
そう感じます。,14
なんか泣けます伝令？,14
金足の16番の方が,3
マウンドへ行き,3
皆を笑顔に,6
なんか泣けた,33
白い歯の笑顔なんかたまらないですね顔がかっこいいですね。,6
そして,3
大阪桐蔭高校。,3
とても強いですね。,19
クリーンナップの選手達の面構えと,3
どこからでもホームラン打ってくる打線。,13
強い。,15
そして,3
暑さよりも熱い。,11
素敵です。,7
夏の甲子園。,15
この暑い中両校の選手,6
応援しています。,1
声変わり界王様も様々声優さんが変わりゆく中ドラえもんも変わりましたし、,28
悟空とクリリンは変わらない事がどれだけ凄いことか、と感じます。,13
野沢雅子さんに田中真弓さん。,19
凄いっす。,13
倅のお陰で気がついたこと,38
デザート,20
すこしリラックスします,2
暑いらしい、頭隠して尻隠さず。。,36
模範図ですね笑笑。,28
倅はセイロ娘は鴨汁蕎麦なかなか二人とも蕎麦のチョイス,6
わたし好みです,14
いただきます！,2
お蕎麦。,2
食べたーいとなりまして,44
何故か来てしまいました,20
時の流れを感じます。,23
 懐かしい、たくさんの思い出,2
私にはまだ早い,4
わたしにはこの家に来るのはまだ早かったみたいです。,23
食後にどうしても行きたいと麗禾が言いまして向かいまする。,2
意外なところです,29
高菜のお粥。,36
これはうーん。,28
うーん美味だね,2
的な流れの写真になりました。,38
いこう,26
コツコツやることやる。,15
オス！！,6
今日も少し早起きね,15
後10日チョイで夏休み終わるから,23
リズム回復をぼちぼちしなくてはならないっすね。,13
子供たちは規制せずとも夏は各々のサマータイムを実行していますね笑笑。,13
ぼちぼち秋タイムへと変換しなくては,11
それはやっぱり親の役目と思います笑笑。,15
小躍りしとる,38
癒されます。,38
ユメも,28
笑笑。,16
可愛い,1
今日は麗禾に何回か起こされながら寝て起きた朝です,38
寝て起きた朝です,2
笑笑。,16
うちの子たちは寝ても鼻をかむとか水を飲む時は妙に律儀に立ち上がって少し断りをいれてその行動する,13
イコール起こされます笑笑。,23
今日もトレーナー朝からとそのあと打ち合わせあるのでぼちぼち起きまする,11
今日も多くの方々が幸せで愛を感じる素敵な一日でありますように,38
最近。,41
一人になる時間大切な事だと知りました。,44
賑やかなところ,2
楽しいところ,2
昔は大好きでしたが最近はそういうところよりも一人で静かでいられる場所の方が好きになって来たような、笑笑。,15
一人の時間って現代に生きる人にとってある程度は必要なものなのだと感じます。,24
そして話が飛躍しますがなんとなく日本も世界も去年くらいから2025年の頭あたりまでもの凄い勢いで変化するように感じます。,24
物の価値観と思考の価値観 金銭のあり方までそんな事を感じる夜であります。,15
ごめん行かなくては,11
行って欲しくないと無言で表してます,36
やらなくてはならない事があるときは行かなくてはならないのよ。,15
ごめんなさい。,33
言ってますがなかなか、家の中ぐちゃぐちゃ〜,24
待ってました！,44
ぐちゃぐちゃ大会に参加させられます。,45
ぐちゃぐちゃ過ぎてお見せできマセーーーん,32
笑笑。,16
今日は変な時間からメンテナンスです。,36
昼間に行こうとしたのですがなかなか時間取れず。,33
行ってきまーす,26
体力凄い、ついてけるのか？,33
日々ビクビクしてます。,44
笑笑,16
どした？！,6
これがいいとさ笑笑,30
たか君からもらいました,14
有難いです。,2
召し上がれ,1
きな粉せんべい,2
休憩。,2
外は雨ですし,23
お勉強。,15
頑張りましょう,15
雨降ってきましたー,23
帰ろうかー,37
と話してます,38
そば,9
早く着きすぎた,26
今日はそういうウッカリな日のようです。,18
あはは,16
昼食へデートっす,2
雰囲気戻りました,38
なんか少しネガティヴな雰囲気だったので気になり散歩にて解消。,38
ほっ,38
ご褒美はガリガリ君かな,2
なんとなく気分悪そうだったので散歩にて解消。,11
笑顔見れてよかったです。,38
散歩ってコミニケーションとるのに一番好きな方法です笑笑,19
最近お寝坊な勸玄。,35
歩いてすこし鍛え疲れさせようかなと,19
え？なんで？！,21
チャイナドレスなの？！？！,22
嬉しい。,1
よろしくお願いします。,3
あたま合わせです。,2
ウシシシ    ,21
のんちゃんかあちゃんが来た‼️,38
遅いよ,35
ごめんごめん 駅のそば炎上してて バスで来たわよ,29
新しい色のハット発売されたよ^ ^ ,22
日本製で型綺麗なんだな^ ^,22
今回のclassicシリーズも長く使えるデザインになってます。,28
uvカット加工もされてるから便利だよ,29
ホワイトも発売中,32
在庫に限りがあるのでおはやめに,4
ホワイトはスペシャルカラーのためあんまり作れないみたい。,4
SUMMER 福袋が発売されました,2
いつも のんちゃんブランド,3
selva secreta 愛用ありがとうございます,3
ペコリ,3
selva secreta 3周年を記念して,2
夏の福袋が発売されました^ ^,32
いつもありがとうございます,1
夏の福袋なのでコートは入ってなくて,32
ワンピースが多めに入ってます,32
のんちゃんのブランドではほとんどセールとかやらなく 数に限りがあるのでお早めに^ ^,36
のんちゃんブランドはここから^ ^,29
のんちゃんのBLOG,13
のんちゃんのお誕生日シールとカゲトラの誕生日シールゲットしたよん,14
素敵な物が欲しいけど あんまり売ってないからディズニーでシールもらう,19
オギャー オギャー,4
えっ？ ,21
まじか？笑,21
モンキーさんごめんない,23
モンキーさん気まずそうに帰っちゃったよ,18
大人気で売り切れてになってた,11
ブラックのハットが予約可能になりました^ ^,14
大人気なんでお早めに,13
ここからだよ,33
遊び心で作ったスペシャルモデルなので、、笑,12
すごく数が少ないみたい^ ^ ,23
個性的に人とちょっと 違うのが欲しい人におすすめだよ,10
ヤッピー,16
ここから購入できるよん,12
かなりクールな感じ,6
可愛ええ,1
特別なのもいいよね^ ^ ,24
新しい色のハット発売されたよ^ ^ ,12
日本製で型綺麗なんだな^ ^,11
こっちもテンション上がっちゃう笑,7
もーちょいだぞ,26
今日これ トイザラスで買ったんだな(^^),2
喋る椅子なんだな(^^),13
明日おちびーぬこれで遊んでくれるかな？,24
楽しみだなー,24
おちびーぬのお風呂終わってと,5
バタバタ  ,33
どいてどいて ,23
ドアップは迫力が増すね,30
すっげーな 迫力がすげんだよなー,29
何回みても飽きない‼️,24
クールなおばあちゃんだなおちびーぬ,6
なんか言った？,46
なんでもあるしさ,24
ご飯も美味しいしさ,24
ディズニーもあるし 最高だ‼️,24
ヤッホイばぶ,36
綺麗だね,1
大きな窓だね ,24
和食にしてみた,2
お台場綺麗だね おちびーぬ,24
おちびーのオモチャいいの沢山買えたよ‼️,38
のんちゃんに誕生日プレゼント,36
何が良い？ て聞いたらおちびー のオモチャが欲しいらしい,15
んで トイザラスでプチ爆買い中‼️ ,13
おちびーぬの新しいオモチャ選び(^^),2
良かったな ‼️ おちびーぬ,38
お台場ブラブラしよーぜ‼️,2
庶民派だからね,30
お台場は庶民派の味方さ,36
天気いいねー,38
おうちーの 建設現場大変そうだな、、ドリンク持っていきましょ‼️,6
12本くらい持っていけば大丈夫かな？,15
いつもありがとうございます,1
と こーゆ時だけは真面目に挨拶‼️,15
現場の兄貴達リスペクトと感謝‼️,15
あつい中 ありがとうございます,36
中々いい感じに仕上がりそうだな,2
本当油断ならないな、、、ちょいと大人のサイトも見れないよ、、しかも怒れないくらい立場が弱いからさ,35
そうだよ,3
定期的にチェックしなとね,13
携帯チェック感謝しなさいよ,1
はいはい チェックありがとうございました,5
一日 寝かしたからか、昨日より美味いな,20
いただきまんもすー,44
もうすぐ誕生日だからね,1
リゾートいくか？,44
はい 僕リゾート行きたいばぶよ,2
のんちゃんの仕事バタバタしてるからね、、、汗,4
おちびーぬがリゾートに行きたいんだってと聞いてみるね ,2
のんちゃんがほうれん草とか マグロとかかぼちゃ作ってくれたよ(^^),13
ばぶばぶ  ,21
美味しいばぶか？,3
美味しくないのは食べないばぶよ からね,23
僕景寅ばぶ,3
本当に元気だなおちびーぬ(^^),13
今日ずっとしばかれてる気がするよ,4
可愛い,34
アレクちゃんの耳をひっぱりすぎだよ ,4
でもこの顔可愛さにやられる,34
いつもありがとうございます,1
大人気シリーズのリブニットワンピースの新色が発売されたよん^ ^,32
ポイントは、上品だけど楽チンに着れる所ヤッピー,13
4色発売されてるんだけど,12
他の色はすべてフリーサイズが売り切れてるみたいなんだって,12
ハイウェストで スタイル良く見えるから,14
おすすめだよん,30
ブラウンだから 秋も着やすい色だよ,2
涼しげで可愛い,14
数に限りがあるのでおはやめに,4
大人気でずっとと売り切れてた ,23
麻のキャスケット,14
工場から今日入荷されたみたいだよ^ - ^,12
麻でデニムて珍しいよ,13
涼しげで良い感じ  可愛いんだよね,30
一つ一つ 日本で作られてるからすごく綺麗^ - ^,2
